canonical_chain_id,canonical_chain_name,latest_paper_ready_year,final_risk_score,any_support,risk_bearing_ge2,material_risk_ge3,direct_funded_eq4,final_forms,providers,purposes,evidence_quote
S3493,1-800-JUNKPRO,2014,0,0,0,0,0,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing || We do not guarantee your note, lease or any other obligation"
S3651,1-800-PLUMBER,2025,0,0,0,0,0,no_financing_involvement,none,not_applicable,"Neither we nor any agent or affiliate of ours offers direct or indirect financing. We do not guarantee your note, lease, or obligation."
U_1c4f59cc,1-800-Plumber,2025,0,0,0,0,0,no_financing_involvement,none,not_applicable,"Neither we nor any agent or affiliate of ours offers direct or indirect financing. We do not guarantee your note, lease, or obligation."
S0007,1-800-Radiator & A,2025,4,1,1,1,1,affiliate_direct_loan,affiliate,fee | other,"Although we do not offer any financing, our affiliates, in their sole discretion, may finance a portion of the initial costs and fees related to your purchase of the 1-800-RADIATOR & A/C® franchise if you meet certain credit requirements. || Source of Financing: Our affiliate || Up to the entire purchase price"
U_6aad7a58,"1-800-Services, LLC",2018,0,0,0,0,0,no_financing_involvement,none,not_applicable,"Neither we nor any agent or affiliate of ours offers direct or indirect financing. || We do not guarantee your note, lease, or obligation."
S5236,1-800-STRIPER,2026,0,0,0,0,0,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing. || We will not guarantee your note, lease, or other obligation."
S7821,1-800-Textiles,2026,0,0,0,0,0,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing nor do we guarantee your note, lease or other obligations."
S6116,1-Tom-Plumber,2026,0,0,0,0,0,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing. || We do not guarantee your note, lease or obligation."
U_5542ecf9,10-4 TOW LLC,2023,0,0,0,0,0,no_financing_involvement,none,not_applicable,"We do not offer you any direct or indirect financing. || We do not guarantee any of your notes, leases or other obligations."
U_f7f221fd,100 M Franchise LLC,2014,0,0,0,0,0,no_financing_involvement,none,not_applicable,We do not offer direct or indirect financing We do not guarantee your lease or other obligations
S3099,100% Chiropractic,2024,4,1,1,1,1,initial_fee_installment | direct_establishment_cost_loan | direct_loan | franchisor_discretionary_loan_guarantee,franchisor | third_party,fee | construction_conversion | equipment | inventory | working_capital | lease_site | other,"We offer financing to franchisees in the form of promissory notes for the initial franchise fee as part of our IFF Finance Program || We also may, in our discretion, offer financing to franchisees in the form of a promissory note for expenses relating to the lease security deposit, remodeling, initial equipment or fixtures, opening inventory and supplies and your expected expenses (in excess of revenues) for the first three months || We may (but are not required to) provide you with a line of credit loan || If a third party does make a direct loan, we may in our discretion guarantee this type of loan if your credit does not satisfy the lender’s requirements. || We do not have any practice or intent to sell, assign or discount to a third party all or part of any promissory notes but may do so in the future."
S0009,1000 Degrees Pizzeria,2017,0,0,0,0,0,no_financing_involvement,none,not_applicable,"Neither we nor any agent or affiliate offers direct or indirect financing to you, guarantees any note, lease or obligation of yours, or has any practice or intent to sell, assign or discount to a third party all or any part of any financing arrangement of yours."
S8123,101 Chicken HQ Inc,2026,0,0,0,0,0,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing. || We do not guarantee your note, lease, or other obligation."
S0010,101 Mobility,2025,2,1,1,0,0,initial_fee_installment,franchisor,fee,"We may finance a portion of your initial franchise fee, up to a maximum amount of 50% of the total initial franchise fee due to us || the full remainder may be financed with us. || We do not assign or discount to third parties notes, contracts or other instruments executed by you or other licensees, but we reserve the right to take, pledge and assign or discount to third parties in the future"
U_a0e2a2c5,"1045 FRANCHISING, LLC",2018,0,0,0,0,0,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing. || We do not guarantee your note, lease or obligation."
U_4036429c,10X Business Advisor,2024,2,1,1,0,0,initial_fee_installment,franchisor,fee,"We offer financing for the Initial Franchise Fee paid to us. || We do not engage in the practice of selling, assigning, or discounting to a third party, in whole or part, any promissory note, contract or other instrument executed by you. || Other than the above, we do not offer direct or indirect financing. We do not guarantee your note, lease or other obligations."
S7741,10X Health,2023,0,0,0,0,0,no_financing_involvement,none,not_applicable,"We do not offer any direct or indirect financing. || We do not guarantee your loan, lease or obligations."
U_6d3ca72c,"14 Moves International, LLC",2018,0,0,0,0,0,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing. || We do not guarantee your notes, leases or obligations."
S0012,16 Handles,2022,0,0,0,0,0,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing, nor do we guaranty your notes, leases or other obligations, but we may decide to offer indirect financing in the future."
S4574,1Heart Caregiver Services,2026,0,0,0,0,0,no_financing_involvement,none,not_applicable,We do not offer direct or indirect financing. || We do not guarantee your lease or other obligations.
S7705,1st Class Real Estate,2026,2,1,1,0,0,initial_fee_installment | seller_fee_financing,franchisor,fee,"We may offer financing for your Initial Franchise Fee if you meet our qualifications. || Source of Financing                     Us || Exhibit D contains the form of Promissory Note that we require you to sign. || We may sell, assign, or discount any note, contract or other instrument signed by you to any affiliate or third party..."
U_4be854b3,2 Hours of Freedom,2026,0,0,0,0,0,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing. || We do not guarantee your note, lease or obligation."
U_730e1b61,2026 - Hyatt (Thompson Hotels),2026,4,1,1,1,1,discretionary_financial_assistance_instrument_unspecified,franchisor,construction_conversion,"However, in some cases we periodically may offer financial assistance to franchisees developing new Brand Hotels or converting existing hotels from other brands to the Hotel System. || The terms of any financial assistance, including amount, interest rate, and repayment terms, will vary widely and depend on our agreement with the franchisee and its particular circumstances. || Neither we nor our affiliates guarantee your note, lease or obligation."
U_32171166,"2B Organized Franchise System, Inc",2018,0,0,0,0,0,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing. || We do not guarantee your loan, note, lease or obligation. || We do not receive direct or indirect payments for placing financing."
S0015,2Good2B Bakery,2017,0,0,0,0,0,no_financing_involvement,none,not_applicable,"Neither we nor any agent or affiliate of ours offers direct or indirect financing to you, guarantees any note, lease or obligation of yours, or has any practice or intent to sell, assign or discount to a third party all or any part of any financing arrangement of yours."
S6586,2nd Family,2026,0,0,0,0,0,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing. || We do not guarantee any note, lease, or obligation on your behalf."
U_eb546ea5,2nd Family Home Care and Support Services,2025,0,0,0,0,0,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing. || We do not guarantee any note, lease, or obligation on your behalf."
S3342,3 Natives,2024,3,1,1,1,0,lease_guarantee,affiliate,lease_site,"If you request and we agree, our parent company, 3 Natives Holdco, may provide a lease guarantee to a lessor of a 3 Natives franchised business. || We do not offer any direct or indirect financing."
S2750,30 Minute Hit,2025,0,0,0,0,0,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing. || We do not guarantee your notes, leases or obligations."
U_8a18e8dc,305 Fitness Franchising Co. LLC,2023,1,1,0,0,0,lender_referral,third_party,other,"Franchisor does not offer direct or indirect financing, nor does Franchisor guarantee Franchisee’s note, lease or obligations to third parties. Franchisor may refer Franchisee to lenders or vendors that provide or assist Franchisee with financing that Franchisee may choose to work with at Franchisee’s option."
U_0ef251c9,"3500 Flat Fee Franchising, LLC",2015,0,0,0,0,0,no_financing_involvement,none,not_applicable,"Neither we, nor our affiliate currently offers, directly or indirectly, any financing arrangements to you || Neither do we guarantee your note, lease, or any other obligation || We may assist franchisees in obtaining financing in the future"
S2095,360 Painting,2026,0,0,0,0,0,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing. We do not guarantee your note, lease or obligation."
S5744,360 Tour Designs,2026,0,0,0,0,0,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing. || We do not guarantee any note, lease, or obligation on your behalf."
S3104,360clean,2025,4,1,1,1,1,direct_loan,franchisor,accounts_receivable,"If we finance any portion of the Sales Commission, your payments will be deducted from the monthly payments that we send to you or set up via automated clearing house draft from your checking account. || We do not sell, assign or discount to a third party all or part of the financing arrangement."
U_ef127831,4.24 - FTC,2026,2,1,1,0,0,initial_fee_deferral,franchisor,fee,"We may, at our option, finance a portion of the Initial Franchise Fee for up to $25,000, if you meet our then-current criteria for financing. || We do not plan to sell, assign or discount to a third party any financing arrangement disclosed above."
U_c203d8a1,"442 Holdings, LLC",2018,0,0,0,0,0,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financmg We do not guarantee your note, lease or obligations"
S4147,4Ever Young,2026,0,0,0,0,0,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing. || We do not guarantee your note, lease or obligation."
S8500,4Evercharge,2025,0,0,0,0,0,no_financing_involvement,none,not_applicable,"As of the Issue Date, we do not offer direct or indirect financing, and we do not guarantee your notes, leases or other obligations."
S0020,5 DAY KITCHENS,2014,2,1,1,0,0,initial_fee_installment | passive_sba_directory_access,franchisor | third_party,fee | other,"we may agree to finance a portion of the Initial Franchise Fee for qualified prospective franchisees under specified terms and conditions || You must sign a promissory note when you sign the Franchise Agreement || We may sell, assign or discount any promissory note or other obligation arising out of the Franchise Agreement to a third party || We plan to apply for inclusion in the Small Business Association's Franchise Registry || We do not guarantee your note, lease or obligations to third parties"
S8566,5 Star Nutrition,2024,0,0,0,0,0,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing, and we do not guarantee your notes, leases or other obligations."
U_9fe8593a,"678 USA, Inc",2014,0,0,0,0,0,no_financing_involvement,none,not_applicable,"We do not provide, directly or indirectly, any financing to you || We do not guarantee your notes, leases or other obligations"
S6844,7 BREW,2025,0,0,0,0,0,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing. || We do not guarantee your note, lease, or obligation."
S3806,7 Leaves,2017,0,0,0,0,0,no_financing_involvement,none,not_applicable,"7 Leaves.does not offer direct or indirect financing. || 7 Leaves doescnot guarantee your note, lease or obligation."
U_3591f10b,"7 Star Auto Glass Franchise, Inc",2017,0,0,0,0,0,no_financing_involvement,none,not_applicable,"Neither we, nor our affiliate currently offers, directly or indirectly, any financing arrangements to you || Neither do we guarantee your note, lease, or any other obligation for a single franchise"
S5038,7-Eleven,2026,4,1,1,1,1,direct_loan | direct_loan | seller_fee_financing,franchisor,construction_conversion | inventory | working_capital | inventory | working_capital | other | working_capital | inventory | fee | construction_conversion | other,"We will finance any unpaid amounts in the Open Account at the end of any month. || Among the payments that we make for you out of the Open Account are payments for the following products/services you will need before opening your store: business licenses, permits and bonds; the initial Cash Register Fund; and the necessary inventory above what was purchased with the Down Payment. || After the opening of your store we will charge the Open Account: your withdrawals, amounts for ongoing inventory purchases; and operating expenses for the store that we approve. || We secure our financing described in this Item 10 with a security interest in your store’s equipment, fixtures and inventory, sales Receipts from your store, and in any going concern value of your franchise. || Although we have no current practice or intent of doing so, we have the right to assign our rights under the franchise agreement, including our financing obligations, to a third party, which may cause you to lose all defenses against the third party."
S8337,76 FENCE,2026,0,0,0,0,0,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing. || We do not guarantee your note, lease or other obligations."
S4392,810 Billiards & Bowling,2026,0,0,0,0,0,no_financing_involvement,none,not_applicable,"We do not offer any other direct or indirect financing. || We do not guarantee your note, lease or obligation."
U_8867256a,810 Entertainment,2026,0,0,0,0,0,no_financing_involvement,none,not_applicable,"We do not offer any other direct or indirect financing. || We do not guarantee your note, lease or obligation."
U_d7f50f81,85C Bakery Cafe,2026,0,0,0,0,0,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing. || We do not guarantee your note, lease or obligation."
U_c3c1ed63,85°C Bakery Cafe,2026,0,0,0,0,0,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing. || We do not guarantee your note, lease or obligation."
S2471,911 Restoration,2025,2,1,1,0,0,initial_fee_installment | additional_territory_financing | seller_fee_financing,franchisor,fee,"we may offer to finance up to 50% of your Initial Franchise Fee. The amount financed must be paid over 18 months with interest at the prime rate of interest plus 5%-8%. || For Additional Territories, you may pay the applicable Initial Franchise Fee subject to our then-current payment terms being offered. || We do not guarantee your note, lease or obligation. || We do not intend to sell, assign or discount to a third party all or any part of a financing arrangement we provide to you."
S0024,9Round,2026,1,1,0,0,0,third_party_financing_arrangement_assistance | lender_referral_compensation,third_party,other,"we do not offer direct or indirect financing and we do not guarantee your note, lease or obligation. || These arrangements ordinarily involve no more than arranging to put franchisees in contact with sources of financing available to individual franchisees. || Guidant will pay us a referral fee of $1,000."
S2332,@ the LB,2017,0,0,0,0,0,no_financing_involvement,none,not_applicable,"We and our affiliates do not offer direct or indirect financing arrangements for any purpose in establishing or operating your Venue || We and our affiliates do not guarantee your promissory note, lease, or any other obligation you may make to others"
U_841c9457,@properties,2025,0,0,0,0,0,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing. || We do not guarantee your note, lease, or obligation."
U_16d18728,"A & E Auto Sound, Inc",2018,0,0,0,0,0,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect fmancing. || We will not guarantee your note, lease, or other obligation."
S3338,a Arthur Rutenberg Homes,2025,4,1,1,1,1,affiliate_direct_loan | seller_asset_credit,affiliate,construction_conversion | equipment,"Other than for the Home Financing and the Model Home Furniture Financing (discussed below), we do not offer direct or indirect financing. || ARH Models may finance that portion of the combined cost of the home construction and lot acquisition not financed by a first-mortgage (construction-perm) loan through a third-party lender introduced by, or acceptable to, ARH Models. || ARH Models may finance a portion of the cost of the furniture in your Model Home that is purchased from us. || ARH Models does not, nor does it have plans to, sell, assign or discount to a third party any of the financing from franchisees, but reserves the right to do so."
S4362,A Better Solution In Home Care,2026,0,0,0,0,0,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing. || We do not guarantee your note, lease or obligation."
S0027,A Buyer's Choice Home Inspections,2014,0,0,0,0,0,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing. || We do not guarantee your note, lease, or obligation."
U_d06ab4fe,A Corp,2018,2,1,1,0,0,additional_territory_financing,franchisor,fee,"A CORP may finance up to 50% of Your additional franchise fee when You exercise Your option to purchase the additional temtones pursuant to a Promissory Note || A CORP has no current practice or interest to sell, assign or discount to a third party all or part of the financing airangement || A CORP does not guarantee Your note, lease or obligation if You fmance Your fimichise investment through a third party"
S0577,a Embroid Me,2026,0,0,0,0,0,no_financing_involvement,none,not_applicable,"Neither we nor any agent or affiliate offers direct or indirect financing to you, guarantees any note, lease, or obligation of yours, or has any practice or intent to sell, assign, or discount to a third-party all or any part of any financing arrangement of yours."
S0590,a Experimac,2018,1,1,0,0,0,formal_third_party_financing_program | lender_referral_compensation | third_party_equipment_leasing | lender_referral_compensation,third_party,equipment,"We offer indirectly arrangements for financing of your equipment through equipment leasing companies. || We do not guarantee your note, lease or any other obligation. || EXM receives a fee of 1% of the loan amount from Advantage."
U_5ade1df2,A La Mode Shoppes,2026,0,0,0,0,0,no_financing_involvement,none,not_applicable,"We and our affiliates do not offer direct or indirect financing. || Neither we nor our affiliate will guarantee your note, lease, or obligation."
U_43957a9a,A Million Monarchs,2023,0,0,0,0,0,no_financing_involvement,none,not_applicable,"Neither A Million Monarchs nor any agent or affiliate(s) of ours offers direct or indirect financing. || We do not guarantee your note, lease, or obligation"
S3154,A Place At Home,2026,0,0,0,0,0,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing. || We do not guarantee any note, lease or other obligation on your behalf."
S5588,A Right Place for Seniors,2017,0,0,0,0,0,no_financing_involvement,none,not_applicable,"We do not offer, directly or indirectly, any financing arrangements to you || We do not place financing and, therefore, we do not receive payments for the placement of financing"
U_2e0324a4,A Sub Above,2024,4,1,1,1,1,passive_sba_directory_access | affiliate_direct_loan,affiliate | third_party,construction_conversion | fee | other,"Company is listed on the Franchise Registry, which means you will receive expedited loan processing though the SBA. || as part of the Coach Rod Smith Program, JMFS will provide participants with loans to pay for the capital costs associated with the development of the Restaurants. || JMFS may sell, assign or discount any promissory note to a third party."
U_e395d899,"A SUB ABOVE, LLC",2022,4,1,1,1,1,passive_sba_directory_access | affiliate_direct_loan | franchisor_discretionary_loan_guarantee,affiliate | franchisor | third_party,construction_conversion | fee | other,"JMFS will provide participants with loans to pay for the capital costs associated with the development of the Restaurants. || At JMFS’s discretion, a participant in the Coach Rod Smith Program may be allowed to include the initial franchise fee and real estate and construction fee in the amount financed with JMFS. || JMFS may sell, assign or discount any promissory note to a third party. || JMFS and/or Company may guaranty those obligations in such event. || Company is listed on the Franchise Registry, which means you will receive expedited loan processing though the SBA."
S1638,a Suburban Extended Stay by Choice Hotels),2024,4,1,1,1,1,formal_third_party_financing_program | lender_referral_compensation | seller_fee_financing | development_incentive_or_forgivable_loan,franchisor | third_party,fee | equipment | inventory | construction_conversion | store_acquisition | other,"In our sole discretion and on approval of your credit, we may offer to finance the affiliation fee without interest. || We will fund the loan shortly after the Hotel opens and we receive the signed Capital Support Note from franchisee. || We will pay the proceeds of the Diversity Note to you only after the Opening Date of your hotel. || Under this agreement, PMC may offer conventional and Small Business Administration (“SBA”) financing to those of our franchisees that qualify and choose to use PMC to finance some of the following costs: affiliation fee, site acquisition, construction or remodeling, equipment and/or fixtures, opening inventory or supplies, ongoing inventory or supplies, replacement of equipment or fixtures, and other continuing expenses. || In consideration of Choice’s agreement to grant PMC access to our marketing channels, Choice will receive from PMC a flat payment of $10,000 annually. || We have not sold, assigned or discounted our commercial paper to anyone, nor do we intend to (although we are permitted to do so)."
U_f7781540,"A Suite Salon Franchise Co, LLC",2014,0,0,0,0,0,no_financing_involvement,none,not_applicable,"Neither we nor any affiliate or representative offers direct or indirect financing to you for any purpose || We do not guarantee your note, lease or obligations || We do not offer any type of financing"
S0029,A&W Restaurants,2026,0,0,0,0,0,no_financing_involvement,none,not_applicable,"A&W does not offer, directly or indirectly, any arrangements for financing your initial investment or the continuing operation of your A&W business. A&W does not guaranty your note, lease or obligation."
U_e9aa5faa,A&W Restaurants A&W A&W Restaurants A&W All American Food,2025,0,0,0,0,0,no_financing_involvement,none,not_applicable,"A&W does not offer, directly or indirectly, any arrangements for financing your initial investment or the continuing operation of your A&W business. A&W does not guaranty your note, lease or obligation."
U_c9736e4f,"A&W RESTAURANTS, INC, A&W, A & W RESTAURANTS",2024,0,0,0,0,0,no_financing_involvement,none,not_applicable,"A&W does not offer, directly or indirectly, any arrangements for financing your initial investment or the continuing operation of your A&W business. A&W does not guaranty your note, lease or obligation."
S2828,A-1 Concrete Leveling,2025,0,0,0,0,0,no_financing_involvement,none,not_applicable,"Neither we nor our affiliates offer direct or indirect financing. || Neither we nor our affiliates guarantee your note, lease, or other obligation."
U_38a63d83,"A.E.S. Fitness Franchise, LLC",2024,0,0,0,0,0,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing. || We do not guarantee your note, lease or obligations."
U_a1b5cf17,"AA Decorative Concrete, Inc",2014,0,0,0,0,0,no_financing_involvement,none,not_applicable,"Neither we, our agent, nor any affiliates offer, directly or indirectly, any financing arrangements to you || Neither we nor any affiliates guaranty any notes, leases, or other obligations you make"
U_d79ae3e9,AAAC Wildlife Removal,2025,2,1,1,0,0,initial_fee_installment,franchisor,fee,We offer financing to franchisees for all or a portion of the Initial Franchise Fee. || The financing may only be used for the Initial Franchise Fee.
U_ca814030,AADC,2014,0,0,0,0,0,no_financing_involvement,none,not_applicable,"Neither we, our agent, nor any affiliates offer, directly or indirectly, any financing arrangements to you || Neither we nor any affiliates guaranty any notes, leases, or other obligations you make"
S0032,AAMCO,2024,1,1,0,0,0,passive_sba_directory_access | third_party_lender_introduction,third_party,other,"AAMCO does not offer direct or indirect financing and we do not guarantee your note, lease, or obligation. || AAMCO is listed on the SBA’s Franchise Registry as complying with SBA’s franchise eligibility guidelines. || We may facilitate your introduction to potential lenders through an authorized vendor of a lender-matching software platform, but we cannot determine whether you will be able to obtain third-party financing for all or any part of your investment."
U_e77e78f9,"AAP Franchising, LLC",2016,0,0,0,0,0,no_financing_involvement,none,not_applicable,"We do not offer any direct or indirect financing || We do not guarantee your loan, lease or obligations"
S5055,Aaron's,2025,4,1,1,1,1,affiliate_equipment_lease,franchisor,equipment,"Aaron’s does not offer direct or indirect financing. || The lease payments due under the Sign Lease Agreement for the sign(s) are computed so that Aaron’s cost for the sign(s) is repaid to Aaron’s over 5 years, with interest being charged at a fixed annual rate of 6.5% || The lease payments due under the Equipment Lease Agreement for the equipment are computed so that Aaron’s cost for the lease payments is covered along with a 12% up charge for service and administration. || Aaron’s has not sold, assigned or discounted to any third party all or part of the financing arrangement under a Sign Lease Agreement with any Aaron’s franchisee"
S6951,AATB,2021,0,0,0,0,0,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing. || We do not guarantee your note, lease, or any of your obligations."
S2443,Abbey Carpet & Floor,2026,2,1,1,0,0,initial_fee_deferral,franchisor,fee,"ABBEY permits deferred payment of the Initial Membership Fee || ABBEY has not in the past and does not intend in the future to sell, assign or discount to a third party any note, contract or other obligation of yours which is owed to ABBEY. || ABBEY does not guarantee your note, lease or obligation."
S0064,Abbott's Frozen Custard,2026,0,0,0,0,0,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing. || We do not guarantee your note, lease, or other obligations."
S1999,abc Seamless,2025,2,1,1,0,0,seller_inventory_or_equipment_credit | third_party_financing_arrangement_assistance,franchisor | third_party,equipment | other,"we may finance your purchase from us of used equipment or fixtures you may need when opening your business || Although we have the right to assign the Installment Agreement, we have no current practice or intent to sell, assign or discount to any third party all or any part of this agreement. || We may offer assistance negotiating with financial institutions to obtain financing of part of your initial investment, but we cannot guarantee financing to you either by us or by any particular financial institution."
U_53d5529f,"ABCSP, LLC",2018,0,0,0,0,0,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing. || We do not guarantee your note, lease or any other obligation."
U_f5affb98,"Abigail Franchising, LLC",2024,0,0,0,0,0,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing. || We do not guarantee your note, lease or other obligation."
U_09907203,Able Autism Therapy,2024,1,1,0,0,0,lender_referral,third_party,other,"We do not offer direct or indirect financing. We do not guarantee your note, lease or obligations. || We do refer buyers to an optional lender, “Lendzee” who provides small business loans, unsecured lines of credit and other versions of business loans."
U_39a8e755,"ABM Franchising Group, LLC",2015,2,1,1,0,0,seller_fee_financing,franchisor,fee,"We may offer you the option to finance a portion of the Initial Franchise Fee and the Start Up Kit Fee under the terms and conditions set forth below || For the Initial Franchise Fee, we will offer certain franchisees financing of up to 75% of the fee at eight percent (8%) simple interest || We will also offer certain franchisees financing up to 50% of the Start-Up Kit Fee at eight percent (8%) simple interest || we do not offer du-ect or indirect financing and we do not guarantee your note, lease or any other obligations"
U_cab3d788,"ABOUTEA CO., LLC",2023,0,0,0,0,0,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing. We do not guarantee your note, lease or obligation."
S0065,Above Grade Level,2016,0,0,0,0,0,no_financing_involvement,none,not_applicable,"Neither we nor any agent or affiliate offersWe do not offer direct or indirect financing-te you, guaranties any of your notes, leases or obligations... || We do not receive direct or indirect payments for placing financing."
U_cc84be18,Abra Auto Body & Glass Repair,2025,0,0,0,0,0,no_financing_involvement,none,not_applicable,"Abra does not offer direct or indirect financing. || Abra does not guarantee your note, lease or obligation."
S4784,ABRA Franchisor SPV LLC - ND Renewal,2022,0,0,0,0,0,no_financing_involvement,none,not_applicable,"Abra does not offer direct or indirect financing. || Abra does not guarantee your note, lease or obligation."
S0066,Abrakadoodle,2025,0,0,0,0,0,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing. || We do not guarantee your note, lease or obligation."
U_7d8a220d,"ABS Franchise Services, Inc",2017,2,1,1,0,0,initial_fee_installment,franchisor,fee,"We do not offer financing for any purpose, except to the limited extend described below. || finance up to $15,000 of your initial franchise fee ... We charge no interest. || Presently, it is not our practice or intent to sell, assign, or discount to a third party all or part of the financing arrangement"
U_20304ff5,"ABSAMC US, INC",2015,0,0,0,0,0,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing || We do not guarantee any notes, leases or obligations"
U_e9658499,"Absolute Recomp Franchising, LLC",2025,0,0,0,0,0,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing. || We do not guarantee your note, lease or obligation."
U_a77d57a0,"Absolute Results Training Systems, Inc",2016,0,0,0,0,0,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing to our franchisees || We do not guarantee any of your notes, lease, or other obligations"
