canonical_chain_id,canonical_chain_name,year,final_risk_score,final_score_status,paper_ready,n_documents,n_unique_item10_versions,sources,final_forms,providers,purposes,evidence_quote,full_item10_text_available
U_47621ef6,1 Percent Lists,2026,2,CONSENSUS,1,1,1,WI,initial_fee_installment,franchisor,fee,"The only financing that we offer is for the initial franchise fee. || we may offer you the opportunity to pay the entire initial franchise fee paid over a period of two years, with the periodic payments being equal to 5% of your Gross Sales Commissions paid at the closing of each transaction until paid in full || We do not guarantee your notes, leases or obligations to third parties.",0
U_46c577ea,1% Lists,2024,0,CONSENSUS,1,4,1,NASAA_NON_SBA,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing. || We do not guarantee your notes, leases or obligations.",1
U_46c577ea,1% Lists,2025,,UNRESOLVED_SCORE_CONFLICT,0,7,3,NASAA_NON_SBA,initial_fee_installment | no_financing_involvement,franchisor | none,fee | not_applicable,"The only financing that we offer is for the initial franchise fee. || the entire initial franchise fee paid over a period of two years, with the periodic payments being equal to 5% of your Gross Sales Commissions paid at the closing of each transaction until paid in full, with any unpaid balance being due in full in a lump sum at the end of the two-year period. || We do not guarantee your notes, leases or obligations to third parties.",1
U_46c577ea,1% Lists,2026,2,CONSENSUS,1,2,1,NASAA_NON_SBA,initial_fee_installment,franchisor,fee,"The only financing that we offer is for the initial franchise fee. || we may offer you the opportunity to pay the entire initial franchise fee paid over a period of two years, with the periodic payments being equal to 5% of your Gross Sales Commissions paid at the closing of each transaction until paid in full || We do not guarantee your notes, leases or obligations to third parties.",0
S0001,1-800 Dryclean,2014,0,CONSENSUS,1,3,3,CA,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing || We do not guarantee your notes, vehicle payments, or other obligations || We do not receive any direct or indirect payment for placing financing with any third party",1
S2022,1-800 Packouts,2015,0,CONSENSUS,1,3,2,CA,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing nor do we guarantee your note, lease or other obligations",1
S2022,1-800 Packouts,2016,0,CONSENSUS,1,1,1,CA,no_financing_involvement,none,not_applicable,We do not offer direct or indirect financing nor do we guarantee your note lease or other obligations,1
S2022,1-800 Packouts,2017,0,CONSENSUS,1,3,2,CA | MN,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing nor do we guarantee your note, lease or other obligations.",1
S2022,1-800 Packouts,2018,0,CONSENSUS,1,4,4,CA,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing nor do we guarantee your note, lease or other obligations.",1
S2022,1-800 Packouts,2025,0,CONSENSUS,1,1,1,MN,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing nor do we guarantee your note, lease or other obligations.",1
S2022,1-800 Packouts,2026,0,CONSENSUS,1,1,1,WI,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing nor do we guarantee your note, lease or other obligations.",0
S0002,1-800 Water Damage,2015,0,CONSENSUS,1,2,2,CA,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing || We will not guarantee any note, leases or other obligation",1
S0002,1-800 Water Damage,2016,2,CONSENSUS,1,3,3,CA,initial_fee_installment | third_party_vehicle_financing | lender_referral | seller_fee_financing | third_party_vehicle_financing | lender_referral,franchisor | third_party,fee | equipment | other,"we offer you financing for a portion of the Initial Franchise Fee if you meet our qualifications. || you may do so through a promissory note (the “Note”) || there is a potential source of financing for your vehicle available through Trans Lease || We also suggest third party sources for lending including, but not limited to FranFund, Benetrends and Directed Equity. || We and our affiliates have no past practice or future intent of selling, assigning or discounting franchisees’ financing arrangements to a third party, although we reserve the right to do so in the future.",1
S0002,1-800 Water Damage,2017,2,CONSENSUS,1,1,1,CA,initial_fee_installment | third_party_vehicle_financing | lender_referral,franchisor | third_party,fee | equipment | other,"we offer you financing for a portion of the Initial Franchise Fee if you meet our qualifications. || you may do so through a promissory note || potential source of financing for your vehicle available through Trans Lease || We also suggest third party sources for lending including, but not limited to FranFund and Benetrends. || Other than described above, we will not guarantee any notes, leases or obligation.",1
S0002,1-800 Water Damage,2025,0,CONSENSUS,1,1,1,WI,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing. || We do not guarantee any note, lease, or obligation on your behalf.",1
S0002,1-800 Water Damage,2026,2,CONSENSUS,1,1,1,WI,sba_access_facilitation | seller_fee_financing,franchisor | third_party,fee | other,"we may offer you financing for a portion of the Initial Franchise Fee if you meet our qualifications || We provide certain information and assist in facilitating SBA loans including 7(a) and 504 loans. || We and our affiliates have no past practice or future intent of selling, assigning or discounting franchisees’ financing arrangements to a third party, although we reserve the right to do so in the future.",0
S0004,1-800-Flowers.com,2014,4,CONSENSUS,1,3,3,CA,direct_loan | seller_fee_financing | seller_fee_financing | direct_loan | seller_store_purchase_financing | seller_fee_financing | direct_establishment_cost_loan | franchisor_or_affiliate_site_sublease,franchisor | franchisor | affiliate,fee | construction_conversion | equipment | fee | equipment | construction_conversion | store_acquisition | fee | construction_conversion | lease_site,"we may offer you the opportunity to finance up to $30,000 with us, which may be used for build-out of your Franchised Unit and/or purchase and installation of signage || we may offer you the opportunity to finance up to $30,000, which may be used for the mitial franchise fee build-out costs and signage related to the Fruit Bouquets Program || If we offer fmancmg to you, you must sign our form of Promissory Note || We do not currently sell, assign or discount to a third party any part of the fmanang arrangement we make with you, but we reserve the right to do so m the future",1
S0004,1-800-Flowers.com,2016,4,CONSENSUS,1,2,2,CA,seller_store_purchase_financing | direct_establishment_cost_loan | seller_fee_financing | seller_store_purchase_financing | seller_fee_financing | direct_loan | real_estate_sublease,franchisor | franchisor | affiliate,store_acquisition | construction_conversion | equipment | fee | store_acquisition | fee | construction_conversion | equipment | lease_site,"a portion of the purchase price may be financed by the seller—one of our affiliates sells you a company operated 1 800 Flowers store. You must sign a Promissory Note in the seller's favor || we may offer you the opportunity to finance up to $30,000 with us, which may be used for build-out of your Franchised Unit and/or purchase and installation of signage || we may offer you the opportunity to finance up to $30,000, which may be used for the Fruit Bouquets Initial Franchise Fee, build out costs and signage related to the Fruit Bouquets Program Business || you will sublease the Franchised Location from us or an affiliate under a Sublease",1
S0004,1-800-Flowers.com,2021,4,CONSENSUS,1,2,2,CA,direct_loan | seller_store_purchase_financing | franchisor_sublease | seller_store_purchase_financing | direct_establishment_cost_loan | seller_fee_financing,franchisor | franchisor | affiliate,construction_conversion | fee | store_acquisition | lease_site | store_acquisition | construction_conversion | equipment | fee,"If you are purchasing a company‐owned 1‐800‐Flowers Shop, a portion of the purchase price may be financed by the seller. You must sign a Promissory Note in the seller’s favor. || If you meet our criteria, including a minimum credit score of 650, we may offer you the opportunity to finance up to $30,000 with us, which may be used for build‐out of your Franchised Unit and/or purchase and installation of signage. || We may also offer you the opportunity to finance up to $30,000 of the Successor Franchise Fee if you are granted a Successor Franchise. || We do not currently sell, assign or discount to a third party any part of the financing arrangement we make with you, but we have the right to do so in the future.",1
S0004,1-800-Flowers.com,2024,4,CONSENSUS,1,1,1,MN,seller_store_purchase_financing | direct_establishment_cost_loan | seller_fee_financing | franchisor_or_affiliate_sublease,franchisor | affiliate,store_acquisition | construction_conversion | equipment | fee | lease_site,"a portion of the purchase price may be financed by the seller. You must sign a Promissory Note in the seller’s favor. || we may offer you the opportunity to finance up to $30,000 with us, which may be used for build-out of your Franchised Unit and/or purchase and installation of signage. || We may also offer you the opportunity to finance up to an additional $30,000 of the Successor Franchise Fee if you are granted a Successor Franchise. || In some cases, you will sublease the Franchised Location from us or an affiliate under a Sublease. || We do not currently sell, assign or discount to a third party any part of the financing arrangement we make with you, but we have the right to do so in the future.",1
S0004,1-800-Flowers.com,2025,4,CONSENSUS,1,2,1,MN | WI,direct_establishment_cost_loan | seller_store_purchase_financing | seller_fee_financing | franchisor_or_affiliate_sublease,franchisor | affiliate,store_acquisition | construction_conversion | fee | lease_site,"If you are purchasing a company-owned 1-800-Flowers Shop, a portion of the purchase price may be financed by the seller. || we may offer you the opportunity to finance up to $30,000 with us, which may be used for build-out of your Franchised Unit and/or purchase and installation of signage. || We may also offer you the opportunity to finance up to an additional $30,000 of the Successor Franchise Fee || In some cases, you will sublease the Franchised Location from us or an affiliate under a Sublease. || We do not currently sell, assign or discount to a third party any part of the financing arrangement we make with you, but we have the right to do so in the future.",1
S0005,1-800-GOT-JUNK?,2014,2,CONSENSUS,1,1,1,CA,initial_fee_installment | third_party_lender_introduction,franchisor | third_party,fee | other,"However, we may, in our sole discretion, allow the initial franchise fee with respect to some of the subtemtones to be made in equal monthly installments without interest if payments are timely made || We do not guarantee any debts, leases or other obligations for you || While not obligated to do so, we may, in our discretion, introduce you to third party financing sources that may, if you meet their qualifications, supply financing options for items required as part of the initial investment",1
S0005,1-800-GOT-JUNK?,2016,2,CONSENSUS,1,1,1,CA,initial_fee_installment | lender_referral,franchisor | third_party,fee | other,"However, we may, in our sole diseretion, allow the initial franehise fee with respect to some of the subtenitories to be made in equal monthly installments without interest if payments are timely made. || While not obligated to do so, we may, in our discretion, introduce you to third party financing sources that may, if you meet their qualifications, supply financing options for items required as part of the initial investment. || We do not guarantee any debts, leases or other obligations for you.",1
S0005,1-800-GOT-JUNK?,2018,2,CONSENSUS,1,2,2,CA,initial_fee_installment | lender_referral | initial_fee_installment | third_party_lender_introduction,franchisor | third_party,fee | other,"we may, in our sole discretion, allow the initial franchise fee with respect to some of the subterritories to be made in equal monthly installments without interest if payments are timely made. || We do not guarantee any debts, leases or other obligations for you. || we may, in our discretion, introduce you to third party financing sources",1
S0005,1-800-GOT-JUNK?,2025,2,CONSENSUS,1,1,1,WI,initial_fee_installment | lender_referral,franchisor | third_party,fee | other,"we may, in our sole discretion, allow the initial franchise fee with respect to some of the subterritories to be made in equal monthly installments without interest || We do not intend to sell, assign, or discount to a third party all or any part of the financial arrangement. || While not obligated to do so, we may, in our discretion, introduce you to third party financing sources that may, if you meet their qualifications, supply financing options for items required as part of the initial investment.",0
S3493,1-800-JUNKPRO,2013,0,PRIOR_V1_ADJUDICATION_CARRIED,1,1,1,CA,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing || We do not guarantee your note, lease or any other obligation",1
S3493,1-800-JUNKPRO,2014,0,PRIOR_V1_ADJUDICATION_CARRIED,1,1,1,CA,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing || We do not guarantee your note, lease or any other obligation",1
S3651,1-800-PLUMBER,2022,0,CONSENSUS,1,1,1,NASAA_NON_SBA,no_financing_involvement,none,not_applicable,"Neither we nor any agent or affiliate of ours offers direct or indirect financing. || We do not guarantee your note, lease, or obligation.",0
S3651,1-800-PLUMBER,2023,0,CONSENSUS,1,3,1,NASAA_NON_SBA,no_financing_involvement,none,not_applicable,"Neither we nor any agent or affiliate of ours offers direct or indirect financing. We do not guarantee your note, lease, or obligation.",1
S3651,1-800-PLUMBER,2024,0,CONSENSUS,1,3,1,MN | NASAA_NON_SBA,no_financing_involvement,none,not_applicable,"Neither we nor any agent or affiliate of ours offers direct or indirect financing. We do not guarantee your note, lease, or obligation.",1
S3651,1-800-PLUMBER,2025,0,CONSENSUS,1,3,1,MN | NASAA | WI,no_financing_involvement,none,not_applicable,"Neither we nor any agent or affiliate of ours offers direct or indirect financing. We do not guarantee your note, lease, or obligation.",1
U_1c4f59cc,1-800-Plumber,2025,0,CONSENSUS,1,4,1,NASAA_NON_SBA,no_financing_involvement,none,not_applicable,"Neither we nor any agent or affiliate of ours offers direct or indirect financing. We do not guarantee your note, lease, or obligation.",1
S0007,1-800-Radiator & A,2015,4,CONSENSUS,1,2,2,CA,affiliate_direct_loan | passive_sba_directory_access,affiliate | third_party,fee | other,"our affiliates, in their sole discretion, may finance a portion of the initial costs and fees related to your purchase of the 1-800-RADIATOR & A/C® franchise || Item Financed: All or a portion of the purchase price || Source of Financing: Our affiliate || 1-800-RADIATOR & A/C® franchisees are eligible for expedited and streamlined SBA loan processing through the SBA's Franchise Registry Program",1
S0007,1-800-Radiator & A,2016,2,CONSENSUS,1,6,6,CA,affiliate_direct_loan | passive_sba_directory_access | promissory_note | passive_sba_directory_access | seller_fee_financing | passive_sba_directory_access,affiliate | third_party,fee | fee | other | other,"our affiliates, in their sole discretion,, may finance a portion of the initial costs and fees related to your purchase of the 1-800-RADIATOR & A/C® franchise || our affiliate may elect to finance all or a portion of the purchase price for the franchise if you meet certain credit requirements || neither we nor any affiliate offers direct or indirect financing to you, guarantees any note, lease or other obligation of yours, has any practice or intent to sell, assign or discount to a third party all or any part of any financing arrangement of yours || franchisees are eligible for expedited and streamlined SBA loan processing through the SBA’s Franchise Registry Program",1
S0007,1-800-Radiator & A,2017,2,CONSENSUS,1,2,2,CA,promissory_note | seller_fee_financing,affiliate,fee,"our affiliates, in their sole discretion, may finance a portion of the initial costs and fees related to your purchase of the 1-800-RADIATOR & A/C® franchise || our affiliate may elect to finance all or a portion of the purchase price for the franchise if you meet certain credit requirements || has any practice or intent to sell, assign or discount to a third party all or any part of any financing arrangement of yours",1
S0007,1-800-Radiator & A,2018,2,CONSENSUS,1,1,1,CA,seller_fee_financing,affiliate,fee,"our affiliates,  in their sole discretion, may finance a portion of the initial costs and fees related to your purchase of the 1-800-RADIATOR & A/C® franchise || All or a portion of the purchase price || has any practice or intent to sell, assign or discount to a third party all or any part of any financing arrangement of yours",1
S0007,1-800-Radiator & A,2024,2,CONSENSUS,1,2,1,MN | NASAA,seller_fee_financing,affiliate,fee,"Although we do not offer any financing, our affiliates, in their sole discretion, may finance a portion of the initial costs and fees related to your purchase of the 1-800-RADIATOR & A/C® franchise || Source of Financing Our affiliate || In its sole discretion, our affiliate may elect to finance all or a portion of the purchase price for the franchise || Except as described above, neither we nor any affiliate ... has any practice or intent to sell, assign or discount to a third party all or any part of any financing arrangement of yours",1
S0007,1-800-Radiator & A,2025,4,CONSENSUS,1,4,2,MN | NASAA | WI,affiliate_direct_loan,affiliate,fee | other,"Although we do not offer any financing, our affiliates, in their sole discretion, may finance a portion of the initial costs and fees related to your purchase of the 1-800-RADIATOR & A/C® franchise if you meet certain credit requirements. || Source of Financing: Our affiliate || Up to the entire purchase price",1
U_6aad7a58,"1-800-Services, LLC",2018,0,CONSENSUS,1,1,1,CA,no_financing_involvement,none,not_applicable,"Neither we nor any agent or affiliate of ours offers direct or indirect financing. || We do not guarantee your note, lease, or obligation.",1
S5236,1-800-STRIPER,2022,0,CONSENSUS,1,2,1,NASAA_NON_SBA,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing. || We will not guarantee your note, lease or other obligation.",1
S5236,1-800-STRIPER,2023,0,CONSENSUS,1,2,1,NASAA_NON_SBA,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing. || We will not guarantee your note, lease, or other obligation.",0
S5236,1-800-STRIPER,2024,0,CONSENSUS,1,3,1,MN | NASAA_NON_SBA,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing. || We will not guarantee your note, lease, or other obligation.",1
S5236,1-800-STRIPER,2025,0,CONSENSUS,1,3,1,MN | NASAA_NON_SBA,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing. || We will not guarantee your note, lease, or other obligation.",1
S5236,1-800-STRIPER,2026,0,CONSENSUS,1,2,1,NASAA_NON_SBA | WI,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing. || We will not guarantee your note, lease, or other obligation.",1
S7821,1-800-Textiles,2024,0,CONSENSUS,1,1,1,MN,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing, nor do we guarantee your note, lease or other obligations.",1
S7821,1-800-Textiles,2025,0,CONSENSUS,1,2,1,MN | NASAA_NON_SBA,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing nor do we guarantee your note, lease or other obligations.",1
S7821,1-800-Textiles,2026,0,CONSENSUS,1,2,1,NASAA_NON_SBA | WI,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing nor do we guarantee your note, lease or other obligations.",0
S6116,1-Tom-Plumber,2022,0,CONSENSUS,1,1,1,NASAA_NON_SBA,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing. || We do not guarantee your note, lease or obligation.",0
S6116,1-Tom-Plumber,2023,0,CONSENSUS,1,4,1,NASAA_NON_SBA,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing. || We do not guarantee your note, lease or obligation.",1
S6116,1-Tom-Plumber,2024,0,CONSENSUS,1,3,2,NASAA_NON_SBA,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing. || We do not guarantee your note, lease or obligation.",1
S6116,1-Tom-Plumber,2025,0,CONSENSUS,1,1,1,MN,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing. || We do not guarantee your note, lease or obligation.",1
S6116,1-Tom-Plumber,2026,0,CONSENSUS,1,1,1,WI,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing. || We do not guarantee your note, lease or obligation.",0
U_5542ecf9,10-4 TOW LLC,2018,0,CONSENSUS,1,2,2,CA,no_financing_involvement,none,not_applicable,"We do not offer you any direct or indirect financing. || We do not guarantee any of your notes, leases or other obligations.",1
U_5542ecf9,10-4 TOW LLC,2023,0,CONSENSUS,1,2,1,CA,no_financing_involvement,none,not_applicable,"We do not offer you any direct or indirect financing. || We do not guarantee any of your notes, leases or other obligations.",1
U_f7f221fd,100 M Franchise LLC,2014,0,CONSENSUS,1,1,1,CA,no_financing_involvement,none,not_applicable,We do not offer direct or indirect financing We do not guarantee your lease or other obligations,1
S3099,100% Chiropractic,2021,4,CONSENSUS,1,2,2,NASAA,initial_fee_deferral | third_party_lender_introduction | franchisor_discretionary_loan_guarantee | direct_establishment_cost_loan | direct_loan | initial_fee_installment | direct_establishment_cost_loan | direct_loan | loan_guarantee,franchisor | third_party,fee | equipment | inventory | working_capital | construction_conversion | lease_site | fee | lease_site | construction_conversion | equipment | inventory | working_capital,"We offer financing to franchisees in the form of promissory notes for the initial franchise fee for the Hub Location Franchise (""Initial Franchise Fee Note""). || We also may, in our discretion, offer financing to franchisees in the form of a promissory note for expenses relating to the lease security deposit, remodeling, initial equipment or fixtures, opening inventory and supplies and your expected expenses (in excess of revenues) for the first three months of the operation of your franchise (Startup Costs Note.) || We may (but are not required to do so) provide you with a line of credit loan (""Line of Credit"") attached as Exhibit L and is intended to provide a moderate amount of money over a short term to assist you with your operational needs, normally less than $50,000. || If a 3rd party does make a direct loan we may guarantee this type of loan if your credit does not satisfy the lender’s requirements. || We do not have any practice or intent to sell, assign or discount to a third party all or part of any promissory notes but may do so in the future with new franchisees.",1
S3099,100% Chiropractic,2022,4,CONSENSUS,1,1,1,NASAA,direct_establishment_cost_loan | direct_loan | initial_fee_installment | third_party_financing_arrangement_assistance | franchisor_discretionary_loan_guarantee,franchisor | third_party,fee | lease_site | construction_conversion | equipment | inventory | working_capital,"We offer financing to franchisees in the form of promissory notes for the initial franchise fee for the Hub Location Franchise (""Initial Franchise Fee Note""). || We also may, in our discretion, offer financing to franchisees in the form of a promissory note for expenses relating to the lease security deposit, remodeling, initial equipment or fixtures, opening inventory and supplies and your expected expenses (in excess of revenues) for the first three months of the operation of your franchise (Startup Costs Note.) || We may (but are not required to do so) provide you with a line of credit loan (""Line of Credit"") attached as Exhibit L and is intended to provide a moderate amount of money over a short term to assist you with your operational needs, normally less than $50,000. || If a 3rd party does make a direct loan, we may guarantee this type of loan if your credit does not satisfy the lender’s requirements.",1
S3099,100% Chiropractic,2024,4,CONSENSUS,1,4,1,MN | NASAA,initial_fee_installment | direct_establishment_cost_loan | direct_loan | franchisor_discretionary_loan_guarantee,franchisor | third_party,fee | construction_conversion | equipment | inventory | working_capital | lease_site | other,"We offer financing to franchisees in the form of promissory notes for the initial franchise fee as part of our IFF Finance Program || We also may, in our discretion, offer financing to franchisees in the form of a promissory note for expenses relating to the lease security deposit, remodeling, initial equipment or fixtures, opening inventory and supplies and your expected expenses (in excess of revenues) for the first three months || We may (but are not required to) provide you with a line of credit loan || If a third party does make a direct loan, we may in our discretion guarantee this type of loan if your credit does not satisfy the lender’s requirements. || We do not have any practice or intent to sell, assign or discount to a third party all or part of any promissory notes but may do so in the future.",1
S0009,1000 Degrees Pizzeria,2014,0,CONSENSUS,1,1,1,CA,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing || We do not guarantee your note, lease or any other obligation || We do not have any agents or affiliates who offer financing directly or indirectly to you",1
S0009,1000 Degrees Pizzeria,2015,0,CONSENSUS,1,1,1,CA,no_financing_involvement,none,not_applicable,"We do not offerNeither we nor any agent or affiliate offers direct or indirect financing. || We do not guarantee your to you, guarantees any note, lease or any other obligation. || no practice or intent to sell, assign or discount to a third party all or any part of any financing arrangement of yours.",1
S0009,1000 Degrees Pizzeria,2016,0,CONSENSUS,1,1,1,CA,no_financing_involvement,none,not_applicable,"Neither we nor any agent or affiliate offers direct or indirect financing to you, guarantees any note, lease or obligation of yours, or has any practice or intent to sell, assign or discount to a third party all or any part of any financing arrangement of yours",1
S0009,1000 Degrees Pizzeria,2017,0,CONSENSUS,1,4,3,CA,no_financing_involvement,none,not_applicable,"Neither we nor any agent or affiliate offers direct or indirect financing to you, guarantees any note, lease or obligation of yours, or has any practice or intent to sell, assign or discount to a third party all or any part of any financing arrangement of yours.",1
S8123,101 Chicken HQ Inc,2025,0,CONSENSUS,1,1,1,NASAA,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing. || We do not guarantee your note, lease, or other obligation.",1
S8123,101 Chicken HQ Inc,2026,0,CONSENSUS,1,1,1,NASAA,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing. || We do not guarantee your note, lease, or other obligation.",1
S0010,101 Mobility,2011,0,CONSENSUS,1,1,1,CA,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing || We do not guarantee your note, lease, or obligation",1
S0010,101 Mobility,2013,0,CONSENSUS,1,1,1,CA,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing || We do not guarantee your note, lease^ or obligation",1
S0010,101 Mobility,2015,0,CONSENSUS,1,1,1,CA,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing || We do not guarantee your note, lease, or obligation",1
S0010,101 Mobility,2016,0,CONSENSUS,1,2,1,CA,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing || We do not guarantee your note, lease, or obligation",1
S0010,101 Mobility,2017,0,CONSENSUS,1,2,1,CA,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing || We do not guarantee your note, lease, or obligation",1
S0010,101 Mobility,2018,0,CONSENSUS,1,2,2,CA,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing || We do not guarantee your note, lease, or obligation",1
S0010,101 Mobility,2022,2,CONSENSUS,1,7,2,CA | NASAA | NASAA_NON_SBA,initial_fee_installment,franchisor,fee,"We may finance a portion of your initial franchise fee, up to a maximum amount of 50% of the total initial franchise fee due to us under any one or more franchise agreements you execute in at the same time. || At least 50% of the total initial franchise fee under each franchise agreement you intend to sign must be paid at signing and the full remainder may be financed with us. || We do not assign or discount to third parties notes, contracts or other instruments executed by you or other licensees, but we reserve the right to take, pledge and assign or discount to third parties in the future notes, contracts or other instruments executed by you or other franchisees should we determine, in our sole discretion, that this action is advisable or in our best interest. || Except as described above, we do not offer direct or indirect financing. We do not guarantee your note, lease, or obligation.",1
S0010,101 Mobility,2023,2,CONSENSUS,1,6,1,CA | NASAA | NASAA_NON_SBA,initial_fee_installment,franchisor,fee,"We may finance a portion of your initial franchise fee, up to a maximum amount of 50% of the total initial franchise fee due to us under any one or more franchise agreements you execute in at the same time. || At least 50% of the total initial franchise fee under each franchise agreement you intend to sign must be paid at signing and the full remainder may be financed with us. || Except as described above, we do not offer direct or indirect financing. We do not guarantee your note, lease, or obligation.",1
S0010,101 Mobility,2024,2,CONSENSUS,1,4,2,MN | NASAA | NASAA_NON_SBA,initial_fee_installment,franchisor,fee,"We may finance a portion of your initial franchise fee, up to a maximum amount of 50% of the total initial franchise fee due to us under any one or more franchise agreements you execute in at the same time. || We do not assign or discount to third parties notes, contracts or other instruments executed by you or other licensees, but we reserve the right to take, pledge and assign or discount to third parties in the future notes, contracts or other instruments executed by you or other franchisees should we determine, in our sole discretion, that this action is advisable or in our best interest. || Except as described above, we do not offer direct or indirect financing. We do not guarantee your note, lease, or obligation.",1
