canonical_chain_id,canonical_chain_name,from_year,to_year,from_score,to_score,score_change,change_type,from_forms,to_forms,from_providers,to_providers,from_evidence_quote,to_evidence_quote
S5747,Alair Homes,2017,2018,0,2,2,0 → support,no_financing_involvement,initial_fee_deferral | no_financing_involvement,none,franchisor | none,"We do not, directly or indirectly, o [fer you financing or guarantee any of your obligations","We will finance up to 50% of your initial franchise fee of $77,650 or $38,825. || Your obligation to pay the deferred portion of your initial franchise fee, together with interest, will be evidenced by a promissory note || It is not our practice or intent to sell, assign or discount to a third party all or part of the Promissory Note or your obligations thereunder; however, we reserve the right to do so."
S0094,AlphaGraphics,2022,2023,0,1,1,0 → support,no_financing_involvement,no_financing_involvement,none,none,"We do not offer direct or indirect financing, nor do we guarantee your note, lease or any other obligation. || We do not have any written arrangements with, and receive no benefit from, any financial institutions or third-party lenders...","We do not offer direct or indirect financing, nor do we guarantee your note, lease or any other obligation. || We do not have any written arrangements with, and receive no benefit from, any financial institutions or third-party lenders or other sources of funding relating to their providing financing to our franchisees, or coordinate financing for our franchisees."
S0100,Amazing Athletes,2023,2024,2,0,-2,support → 0,initial_fee_installment | seller_fee_financing,no_financing_involvement,franchisor,none,"you will have the option to finance up to fifty percent (50%) of the initial franchise fee || We do not engage in the practice of selling, assigning, or discounting to a third party, in whole or in part, any note, contract or other instrument executed by you. || Other than the above, neither we nor our Affiliates currently offer any direct or indirect financing in connection with the acquisition or development of your franchise.","Neither we nor any agent or affiliate offers direct or indirect financing to you, guarantees any note, lease or obligation of yours, or has any practice or intent to sell, assign or discount to a third-party all or any part of any financing arrangement of yours."
S6411,American Freight,2022,2023,3,0,-3,support → 0,formal_third_party_financing_program | partial_loan_guarantee,no_financing_involvement,third_party | franchisor,none,"""We will guarantee up to an aggregate of $500,000 of all debt financed by CNOB through this financing program."" || ""Except as described above, we do not offer direct or indirect financing. We do not guarantee your note, lease or obligation."" || ""CNOB offers financing for your equipment, fixtures, furniture, computers, inventory and signs.""","We do not offer direct or indirect financing and we do not guarantee your note, lease or any financial obligation related to your Retail Business."
S0110,American Poolplayers Association,2016,2017,2,4,2,other increase,additional_territory_financing | promissory_note,direct_loan | seller_fee_financing | seller_asset_credit | direct_loan,franchisor,franchisor,"APA allowed the new franchisees to pay a portion of the amounts they owed to APA for the purchase of the territory in installments subiect to the terms of promissory notes || the new franchisees paid APA a down payment and issued APA a promissory note for the unpaid portion of the purchase price || No agent or affiliate of APA offers direct or indirect financing, guarantees any note, lease or obligation, has any practice or intent to sell, assign or discount to a third party all or part of any financing arrangement","APA allowed the new franchisees to pay a portion of the amounts they owed to APA for the purchase of the territory m installments subject to the terms of promissory notes || APA lent money to a franchisee who, at that time, owned one franchise, but who borrowed money from APA to purchase a second franchise || The purchasing franchisee gave APA a promissory note for the principal amount of $20,000 to be paid within 52 weeks, or upon the sale of the franchisee’s initial franchise"
S0104,AmericInn,2016,2017,1,0,-1,support → 0,passive_sba_directory_access | sba_access_facilitation,no_financing_involvement,third_party,none,"We do not offer direct or indirect financing to our franchisees We do not guaranty your note, lease, or obligation || we have registered the Americlnn® franchises being offered hereby under the Franchise Registry maintained by the United States Small Business Administration’s Franchise Registry Program || you will be eligible for expedited loan processing through this program","We do not offer direct or indirect fmancmg to our fi-anchisees || We do not guaranty your note, lease, or obligation"
U_529d9649,AmSpirit Franchise Corporation,2025,2026,2,0,-2,support → 0,promissory_note,no_financing_involvement,franchisor | affiliate,none,"If we or our Affiliate offer financing to you, you will be required to sign a promissory note, in the form of Exhibit G attached to this disclosure document, providing for the payment of the initial franchise fee and, if applicable, the Going Concern Payment || Although we have not done so, the promissory note may be assigned to a third party without your consent.",Neither we nor our Affiliate offer direct or indirect financing to you. || Neither we nor our Affiliate guarantee any loan or lease that may be obtained by you or any obligation that you may incur in your AmSpirit Business.
U_f0bb83dc,Annex Brands Commercial Center,2025,2026,0,1,1,0 → support,no_financing_involvement,passive_sba_directory_access,none,third_party,"Neither we nor any agent or affiliate offers direct or indirect financing to you or guarantees any of your notes, leases or obligations.","Neither we nor any agent or affiliate offers direct or indirect financing to you or guarantees any of your notes, leases or obligations. || You may be eligible for expedited and streamlined SBA loan processing through the SBA's Franchise Registry Program, www.franchiseregistry.com."
S0122,Anytime Fitness,2021,2022,4,3,-1,other decrease,formal_third_party_financing_program | sba_access_facilitation | lender_referral_compensation | partial_loan_guarantee | direct_establishment_cost_loan,third_party_equipment_leasing | third_party_construction_loan | lease_guarantee | partial_loan_guarantee | third_party_financing_arrangement_assistance | sba_access_facilitation | lender_referral_compensation,franchisor | third_party,third_party | franchisor,"We also have a direct bridge financing program that we offer, at our discretion, to qualifying franchisees to help finance tenant improvements. || The maximum amount of this loan is $150,000. || Under our agreement with RVN, we will guaranty 50% of any amounts that you fail to pay under the loan documents with RVN. || We have a separate agreement with Geneva, under which we agreed to assume certain obligations if you default under your lease, including an obligation to assist Geneva in remarketing your equipment. Under that agreement, we also agreed to establish a pool to compensate Geneva for certain of the losses it incurs, and to guaranty payment of certain of those losses. || We and our affiliates have the right to sell, assign or discount to a third party all or part of any amounts you may owe to us or our affiliates.","We do not generally offer, directly or indirectly, any financing to you to help you establish your business. || we agreed to assume certain obligations if you default under your lease, including an obligation to assist Geneva in remarketing your equipment. Under that agreement, we also agreed to establish a pool to compensate Geneva for certain of the losses it incurs, and to guaranty payment of certain of those losses. || Under our agreement with RVN, we will guaranty 50% of any amounts that you fail to pay under the loan documents with RVN. || We and our affiliates have the right to sell, assign or discount to a third party all or part of any amounts you may owe to us or our affiliates."
U_41f27b32,"Apex Franchise Holdings, LLC",2015,2016,0,4,4,0 → support,no_financing_involvement,direct_establishment_cost_loan,none,franchisor,"We do not offer direct financing || We do not guarantee any note, lease or other of your obligations","We may, in our sole discretion, provide financing to vou if vou are a qualified franchisee || we will loan vou an amount up to $65.000 based on aPDroximatelv 20% of the actual amount it will cost vou to establish vour Facility excluding the Initial Franchise Fee || neither we nor any agent or affiliate of ours offers direct or indirect financing to vou, guarantees anv of vour notes, leases or obligations, or has anv practice or intent to sell, assign or discount to a 3™ nartv all or part of anv of vour financing arrangements"
U_3b23b1db,Appell Striping,2025,2026,2,0,-2,support → 0,seller_fee_financing | seller_inventory_or_equipment_credit,no_financing_involvement,franchisor,none,"We may finance the Initial Franchise Fee, the Initial Inventory and Equipment Package, the Initial Marketing Kit and Training Fee for qualified franchisees. || You must issue a promissory note in the form attached to the Franchise Agreement as Exhibit E (the ""Note"") for the amount financed when you sign the Franchise Agreement.","We do not offer direct or indirect financing. || We will not guarantee your note, lease, or other obligations."
S0135,Aroma Joe's,2024,2025,4,0,-4,support → 0,formal_third_party_financing_program | direct_loan,no_financing_involvement,franchisor | third_party,none,"Misc. Equipment ... Ascentium Capital & Harbour Capital ... Equipment Financed || We do not guarantee your notes, leases, or obligations. || We have no present plan to sell or assign the note to any third party, although we may do so in the future. || We do require you to sign a general release of claims as a condition of making a loan to you.",We and our affiliates do not offer assistance or financing to you directly or indirectly.
S0183,Bahama Buck's,2015,2016,1,0,-1,support → 0,no_financing_involvement | passive_sba_directory_access,no_financing_involvement,none | third_party,none,"We do not offer direct or indirect financing || We do not guarantee your note, lease, or obligation || Bahama Buck's has no obligation to provide financing to you, either directly or indirectly through third parties || Bahama Buck's is not obligated to grant you any credit terms || See Item 8","We do not offer direct or indirect financing || We do not guarantee your note, lease, or obligation || Bahama Buck's has no obligation to provide financing to you, either directly or indirectly through third parties || Bahama Buck's is not obligated-to grant you any credit terms"
S0189,Bark Busters,2024,2025,2,4,2,other increase,direct_loan | seller_fee_financing,direct_loan,franchisor,franchisor,"At our sole and absolute discretion we may loan you up to thirty thousand ($30,000.00) dollars to be used as a down payment on your Initial Franchise Fee. || The loan would provide for thirty-six (36) equal monthly payments of principal and interest at an interest rate of the Wall Street Journal’s Prime Rate plus three percent (3%) per annum || It is not our practice or intent to sell, assign or transfer all or any part of the loan to any third party for any reason.","At our sole and absolute discretion we may loan you up to thirty thousand ($30,000.00) dollars to be used as a down payment on your Initial Franchise Fee."
R_BARRIO_MASTER,Barrio Burrito Bar - Master Franchise,2024,2025,2,0,-2,support → 0,initial_fee_installment | seller_fee_financing,no_financing_involvement,franchisor,none,"We offer financing to Master Franchisees for the Development Fee. || Other than the option to pay the Development Fee in installments, we do not offer any other direct or indirect financing. We do not guarantee any of your notes, leases or obligations. || We do not intend to sell, assign or discount to any third party, in whole or in part, any financing arrangements.","We do not offer any direct or indirect financing. || We do not guarantee any of your notes, leases or obligations."
U_e058469b,Barrio Queen,2025,2026,0,3,3,0 → support,no_financing_involvement,seller_store_purchase_financing | lease_guarantee | franchisor_lease_payment_guarantee | discretionary_financial_assistance_instrument_unspecified,none,franchisor | affiliate,"We do not offer any direct or indirect financing or financing arrangement, nor will we guaranty your obligations under any note or other obligation. || We do not arrange financing from other sources; therefore, we do not receive direct or indirect payments from placing financing.","we or one of our affiliates may provide financing in connection with your purchase of a corporate-owned restaurant sold on an ""as-is"" basis, or in other limited, one-off circumstances. || In addition, we may, in our sole discretion, provide a lease guarantee for an approved restaurant site. || We or our affiliates may, in our sole discretion, lease the site approved by us for your Barrio Queen restaurant and sublease the site to you. || We do not intend to sell, assign or discount to a third party any financing arrangement."
U_c0d857d9,Barrio Queen Unit,2025,2026,0,3,3,0 → support,no_financing_involvement,seller_store_purchase_financing | lease_guarantee | franchisor_lease_payment_guarantee | discretionary_financial_assistance_instrument_unspecified,none,franchisor | affiliate,"We do not offer any direct or indirect financing or financing arrangement, nor will we guaranty your obligations under any note or other obligation. || We do not arrange financing from other sources; therefore, we do not receive direct or indirect payments from placing financing.","we or one of our affiliates may provide financing in connection with your purchase of a corporate-owned restaurant sold on an ""as-is"" basis, or in other limited, one-off circumstances. || In addition, we may, in our sole discretion, provide a lease guarantee for an approved restaurant site. || We or our affiliates may, in our sole discretion, lease the site approved by us for your Barrio Queen restaurant and sublease the site to you. || We do not intend to sell, assign or discount to a third party any financing arrangement."
S0195,Baskin-Robbins,2022,2023,2,0,-2,support → 0,third_party_financing_arrangement_assistance | formal_third_party_financing_program | lender_referral_compensation | initial_fee_installment | discretionary_financial_assistance_instrument_unspecified,no_financing_involvement,third_party | franchisor,none,"you may spread the payment of your $25,000 Initial Franchise Fee into ten equal annual installments for each Franchise Agreement you sign. || The following guaranteed financing program was developed in partnership with FNB to finance new site development, remodels, and equipment, to certain franchisees previously approved by us. || We will receive a fee from FNB as part of this program. || we may from time to time, at our discretion, offer voluntary financing to existing franchisees for specific programs such as the purchase of specialized equipment or accelerated development in specified markets.","We do not offer direct or indirect financing. || We do not guaranty your note, lease, or obligation."
S0205,Bellacino's Pizza and Grinders,2024,2025,1,0,-1,support → 0,sba_access_facilitation,no_financing_involvement,third_party,none,"Bellacino's does not offer direct or indirect financing. || Bellacino's does not guarantee your note, lease or other obligations. || Franchisees of the Bellacino’s® system are eligible for expedited and streamlined SBA loan processing through the Bellacino’s Franchise Registry Program, www.franchiseregistry.com.","Bellacino's does not offer direct or indirect financing. || Bellacino's does not guarantee your note, lease or other obligations."
S5436,Bento Sushi,2023,2024,4,2,-2,other decrease,initial_fee_installment | direct_loan | initial_fee_installment | direct_loan | seller_store_purchase_financing,initial_fee_installment | seller_inventory_or_equipment_credit,franchisor,franchisor,"We may offer financing to qualified franchisees for up to 100% of their initial franchise fee. || We may offer financing to qualified franchisees who are: opening a new Bento Sushi Counter, or who are acquiring an existing Bento Sushi Counter from another franchisee, or who are purchasing an existing company-owned Bento Sushi Counter from us. || If you enter into a financing agreement with us, you will authorize us to deduct, from the Adjusted Net Sales owed to you as a result of your operation of your Bento Sushi Counter, an amount sufficient to meet your weekly loan payment and interest. || We do not offer other direct or indirect financing. We do not finance any debt to a 3rd party. We do not guarantee your note, lease or obligation. We do not have any intent to sell, assign or discount to a 3rd party all or part of the Promissory Note.","We may offer financing to qualified franchisees for up to 100% of their initial franchise fee and the initial inventory order. || We do not offer other direct or indirect financing. We do not finance any debt to a 3rd party. We do not guarantee your note, lease or obligation. || We do not have any intent to sell, assign or discount to a 3rd party all or part of the Promissory Note."
U_6dcae554,"BFT Franchise Holdings, LLC",2024,2025,1,0,-1,support → 0,formal_third_party_financing_program | lender_referral_compensation,no_financing_involvement,third_party,none,"We offer indirect financing through the third-party providers described below || We do not guarantee your note, lease or any other obligation. || We do not offer direct financing","We do not offer direct or indirect financing. || We do not guarantee your note, lease or obligation. || while we do not offer direct or indirect financing, certain third-party lenders, such as Amerifund and Navitas, have sponsored our convention in the past and may do so in the future, but we are unaware of the terms of any financing you may, if at all, obtain from these or other lenders."
U_135bf785,"Big Air Franchising, LLC",2015,2016,1,0,-1,support → 0,lender_referral | lender_referral_compensation,no_financing_involvement,third_party,none,"Neither Big Air Trampoline  nor any agent or Affiliate of ours offers direct or indirect financing || We do not guarantee your note, lease or obligation || We will provide you with the names and addresses of those lenders, if you request the information || We reserve the nght to receive referral fees from lenders or brokers","Neither Big Air Trampoline  nor any agent or Affiliate of ours offers direct or indirect financing || We do not guarantee your note, lease or obligation"
U_c68591ec,Biosweep,2023,2024,2,0,-2,support → 0,seller_inventory_or_equipment_credit,no_financing_involvement,franchisor,none,"We do offer in-house equipment financing for additional BIOSWEEEP machine purchases after your Initial Equipment Order has been completed. || If you choose to finance for 24, 30 or 36 months, then we will finance 90% and none of the freight. || If we finance additional BIOSWEEEP machine purchases after your Initial Equipment Order has been completed, we will hold the Promissory Note (the “Note”), and will not sell, assign or discount any part of it to a third party.",We do not offer direct or indirect financing for your Initial Franchise Fee or initial equipment order. || We do not assist in providing financing for you. || We do not guarantee any notes or financial obligations you may incur in setting up and operating your Franchise.
S7127,Blingle!,2023,2024,0,2,2,0 → support,no_financing_involvement,seller_fee_financing,none,franchisor,"We do not offer direct or indirect financing. We will not guarantee your note, lease or other obligations.","We may, in limited circumstances and at our option, but under no circumstances are we obligated to, finance a portion of your Initial Franchise Fee || The Secured Promissory Note obligates you to pay us the amount of your Initial Franchise Fee that we agree to finance, plus interest || We may discount the Secured Promissory Note to a third party who may be immune under the law to any defenses to payment you may have against us. || Except as described above, we do not offer direct or indirect financing. We do not guarantee your note or any other obligation."
S2673,BlueFrog Plumbing + Drain,2017,2018,2,0,-2,support → 0,no_financing_involvement | seller_fee_financing | passive_sba_directory_access,no_financing_involvement,franchisor | third_party | none,none,"we may agree to finance a portion of the Initial Franchise Fee for qualified prospective franchisees under specified terms and conditions. || If we offer you financing, you must sign a promissory note when you sign the Franchise Agreement. || We plan to apply for inclusion in the Small Business Association’s Franchise Registry. || We may sell, assign or discount any promissory note or other obligation arising out of the Franchise Agreement to a third party. || We do not guarantee your note, lease or obligations to third parties.","We do not offer direct or indirect financing. || We do not guarantee your note, lease or obligations to third parties."
S2704,BNI Franchising,2017,2018,0,2,2,0 → support,no_financing_involvement,seller_store_purchase_financing,none,franchisor,We do not offer direct or indirect financing || We do not receive any consideration from third party lenders for any placement of financing by Our franchisees,"In 2017, Franchisor effected the sale of one now formerly company owned region, pursuant to which acquirer/franchisee was allowed to pay in part via a promissory note pursuant to terms set out below. || It is also not the Franchisor’s intent or practice to sell, assign, or discount to a third-party all or part of the financing arrangement."
S2713,Board & Brush Creative Studios,2017,2018,1,0,-1,support → 0,third_party_lender_introduction,no_financing_involvement,third_party,none,"We do not offer direct or indirect financing || We do not guarantee any note, lease, or obligation on your behalf || We will, if such is available, introduce you to financial sources and suppliers who may offer credit arrangements || we will not derive income from the placement of financing","We do not offer direct or indirect financing. || We do not guarantee any note, lease, or obligation on your behalf"
U_9074ff54,"Boardwalk Fresh Burgers and Fries, Inc",2016,2017,1,0,-1,support → 0,passive_sba_directory_access | sba_access_facilitation,no_financing_involvement,third_party,none,"We do not offer, either directly or indirectly, any financing arrangements to you || We do not guarantee your notes, leases or other obligations || eligible for expedited and streamlined SBA loan processing through the SBA’s Franchise Registry Program","We do not offer, either directly or indirectly, any financing arrangements to you || We do not guarantee your notes, leases or other obligations"
S8372,Boba Nation,2023,2024,1,0,-1,support → 0,third_party_financing_arrangement_assistance,no_financing_involvement,third_party,none,"We do not offer direct or indirect financing. We do not guarantee any note, lease, or obligation on your behalf. || We will, if such is available, introduce you to financial sources and suppliers who may offer credit arrangements, but we will not derive income from the placement of financing.","We do not offer direct or indirect financing. || We do not guarantee your note, lease, or obligation."
U_44fcfc2a,BoxDrop,2022,2023,0,2,2,0 → support,no_financing_involvement,initial_fee_installment,none,franchisor,"We do not offer direct or indirect financing. || We do not guarantee your note, lease, or other obligations.",We currently offer a financing plan for the payment of your Initial Franchise Fee. || Source of Financing: Us
S2130,Brake Masters,2015,2016,4,0,-4,support → 0,affiliate_real_estate_lease | affiliate_real_property_lease,no_financing_involvement,affiliate,none,"At Its sole option, BMSI's affiliate, Heights Properties, LLP, may lease the site and/or building for your BRAKE MASTERS store to you || Neither BMSI nor any of its affiliates directly or indirectly offers you any financing || Neither BMSI nor its affiliates will guaranty your obligations to third parties || Heights Properties has the right to terminate your possession of the leased premises","We do not offer direct or indirect financing || We do not guarantee your note, lease, or obligation"
S0252,Bricks 4 Kidz,2023,2024,2,0,-2,support → 0,initial_fee_installment,no_financing_involvement,franchisor,none,"the Company reserves the right to, in rare circumstances and at its sole discretion, offer to finance all or part of your Initial Franchise Fee for up to 10 year(s). || Except as described above, we do not offer financing or arrange for financing from other sources.","We do not offer direct or indirect financing. We do not guarantee any note, lease, or obligation on your behalf."
S0252,Bricks 4 Kidz,2025,2026,0,1,1,0 → support,no_financing_involvement,third_party_financing_arrangement_assistance,none,third_party,"We do not offer direct or indirect financing. || We do not guarantee any note, lease or obligation on your behalf.","We do not offer direct or indirect financing to franchisees. We do not guarantee any note, lease, or other obligation on your behalf. || All financing decisions, loan approvals, terms, and obligations are made solely by independent lenders, and we do not receive or provide loan proceeds, guarantee repayment, or assume any financial responsibility for franchisee obligations."
U_2f593292,"Brightway Insurance, Inc",2021,2022,4,2,-2,other decrease,initial_fee_deferral | seller_fee_financing | direct_loan,seller_fee_financing,franchisor,franchisor,"You may finance the Multi-Unit Fee under our prescribed form of promissory note (described below), with the first payment due under the note deferred for a period of five years. || AAOs who opt into the enhanced commission structure on or before the date at least two weeks prior to commencing operation of the Office Agency are subject to a $25,000 Commission Enhancement Fee, which may be financed pursuant to our prescribed form of promissory note || we may offer a financing option for certain required Errors and Omissions premiums. || It is not our practice to sell, assign, or discount to a third party all or part of the financing arrangement.","You may finance the Multi-Unit Fee under our prescribed form of promissory note (described below), with the first payment due under the note deferred for a period of five years. || We also offer qualified AAOs an opportunity to finance the Financed Enhancement Fee pursuant to our prescribed form of promissory note that includes the following terms: || We offer new AAOs and qualified Office Agency owners the option of financing a portion of the Initial Fee for opening or converting to a Retail Agency. || It is not our practice to sell, assign, or discount to a third party all or part of the financing arrangement."
S5341,Buildingstars,2024,2025,0,2,2,0 → support,no_financing_involvement,seller_fee_installment,none,franchisor,"We do not offer direct or indirect financing. || We do not guarantee your note, lease or obligation.","We may finance a portion of the Initial Franchise Fee, under the circumstances explained in Item 5, or Account Sales Fees. || Other than as described above, neither we nor any agent or Affiliate offers direct or indirect financing to you, guarantees any of your notes, leases or obligations, or has any practice or intent to sell, assign or discount to a 3rd party all or part of any of your financing arrangements."
